id,type,size,intensity,fadeout,color,hit size,hit intensity,hit fadeout,hit color,flash size,flash intensity,flash fadeout,flash color,chance
quill_srm,projectile,75,0.30,0.3,"[135,205,170]",90,0.25,0.6,"[135,205,170]",70,0.10,0.2,"[135,205,170]",0.6
achilles_stage1,projectile,90,0.25,0.3,"[135,205,170]",150,0.25,1,"[235,245,255]",70,0.10,0.2,"[235,245,255]",1
achilles_stage2,projectile,60,0.15,0.3,"[135,205,170]",90,0.25,0.3,"[235,245,255]",70,0.25,0.3,"[235,245,255]",0.8
,,,,,,,,,,,,,,
brdyac_shot2,projectile,45,0.15,0.25,"[70,140,245]",90,0.2,0.6,"[40,160,255]",70,0.2,0.2,"[70,140,245]",0.8
brdyac_shot,projectile,40,0.15,0.35,"[70,140,245]",125,0.35,0.8,"[40,160,255]",120,0.3,0.25,"[70,140,245]",0.9
iwshard,projectile,20,0.25,0.4,"[70,140,245]",125,0.35,0.4,"[40,160,255]",120,0.3,0.35,"[70,140,245]",0.8
iwshard_clone_proj,projectile,20,0.25,0.4,"[70,140,245]",125,0.35,0.4,"[40,160,255]",120,0.3,0.35,"[70,140,245]",0.8
brdy_gale_shot,projectile,135,0.5,0.6,"[250,140,70]",205,0.6,1,"[250,140,70]",200,0.5,0.3,"[250,140,70]",1
brdy_squallgun_shot,projectile,145,0.5,0.6,"[250,140,70]",205,0.7,1,"[250,140,70]",200,0.5,0.3,"[250,140,70]",1
brdy_ltgale_shot,projectile,90,0.35,0.4,"[250,140,70]",175,0.35,1,"[250,140,70]",120,0.4,0.3,"[250,140,70]",1
ich_shot,projectile,75,0.35,0.2,"[255,180,60]",100,0.2,0.6,"[255,180,60]",60,0.2,0.35,"[255,155,105]",0.85
br_linearproj,projectile,100,0.35,0.25,"[236,177,70]",135,0.35,0.4,"[236,147,60]",120,0.45,0.2,"[236,147,60]",0.75
br_scproj,projectile,130,0.45,0.3,"[135,255,180]",135,0.35,0.45,"[135,255,180]",120,0.6,0.2,"[135,255,180]",0.70
br_damoclesproj,projectile,170,0.65,0.25,"[135,255,180]",165,0.45,0.35,"[135,255,180]",140,0.6,0.2,"[135,255,180]",0.75
brdyvolleyshot_clone_proj,projectile,50,0.35,0.4,"[120,140,90]",175,0.35,0.5,"[120,140,90]",120,0.2,0.25,"[250,140,70]",0.5
brvulcan_shot,projectile,,,,,,,,,50,0.2,0.15,"[255,240,165]",0.4
brburst,beam,60,0.6,,"[190,205,52]",,,,,30,0.15,,"[190,205,52]",1
brdy_argussmall,beam,40,0.45,,"[190,205,52]",,,,,30,0.13,,"[190,205,52]",1
brdy_miniargus,beam,35,0.40,,"[190,205,52]",,,,,20,0.12,,"[190,205,52]",1
brdy_miniargusb,beam,30,0.35,,"[190,205,52]",,,,,20,0.10,,"[190,205,52]",1
br_pde,beam,90,0.5,,"[119,200,137]",270,0.6,,"[119,200,137]",135,0.40,,"[119,230,137]",1
br_fpde,beam,70,0.45,,"[119,200,137]",210,0.55,,"[119,200,137]",105,0.30,,"[119,230,137]",1
,,,,,,,,,,,,,,
br_antiplasma_shot,projectile,155,0.5,0.5,"[135,255,180]",305,0.6,1.1,"[135,255,180]",250,0.5,0.4,"[135,255,180]",1
brdy_amlance_shot,projectile,250,0.65,0.5,"[80,110,220]",405,0.6,1.1,"[80,110,220]",250,0.5,0.4,"[80,110,220]",1
,,,,,,,,,,,,,,
brdy_furytorp,projectile,150,0.65,0.5,"[180,235,75]",600,1,1.75,"[180,235,75]",140,0.5,0.4,"[180,235,75]",1
voidspear,projectile,90,0.50,0.4,"[180,235,75]",200,0.6,1.25,"[180,235,75]",100,0.4,0.35,"[180,235,75]",1
brdy_afmissile,projectile,75,0.15,0.5,"[255,115,75]",,,,,,,,,1
SQGnewshot,projectile,125,0.3,0.2,"[135,155,130]",140,0.35,0.9,"[135,155,130]",100,0.25,0.5,"[135,155,130]",1
SQGlargeshot,projectile,150,0.4,0.3,"[135,155,130]",150,0.45,0.75,"[135,155,130]",200,0.55,0.35,"[135,155,130]",1
brdy_hammerclawcase,projectile,125,0.6,0.5,"[135,255,180]",250,0.5,1.25,"[135,255,180]",100,0.20,0.4,"[135,255,180]",1
fluxtank,projectile,90,0.10,0.3,"[180,235,75]",200,0.6,1.25,"[180,235,75]",j,0.45,0.45,"[180,235,75]",1
